16,16,16,16,16,16,16,16,16,16,16,16,16,6,16,4
16,16,16,16,16,16,16,16,16,16,16,16,16,6,16,4
16,16,16,16,16,16,145,145,16,16,16,16,16,6,16,4
16,16,16,16,16,145,145,145,145,16,16,16,6,6,16,4
16,16,16,16,16,145,145,145,145,16,16,16,6,16,16,4
16,16,16,16,16,145,20,20,145,16,16,16,6,16,16,4
16,16,16,16,16,16,20,20,16,16,16,6,6,16,16,4
16,16,16,16,16,16,20,20,16,16,16,6,16,16,16,4
16,16,16,16,16,16,16,16,16,16,16,6,16,16,16,4
16,16,16,16,16,16,16,16,16,16,16,6,16,16,16,4
16,16,16,16,16,16,16,16,16,16,6,6,16,16,16,4
16,16,16,16,16,16,16,16,16,16,6,16,16,16,16,4
16,16,16,16,16,16,16,16,16,6,6,16,16,16,16,4
16,16,16,16,16,16,16,16,6,6,16,16,16,16,16,4
16,16,16,16,16,16,16,6,6,16,16,16,16,16,16,4
16,16,16,16,16,16,6,6,16,16,16,16,16,16,16,4
